language,location,messsage
pt,"Sao Paulo, Brazil",RT @softevnstan: esse vídeo dos franceses cantando enquanto assistem Notre Dame pegar fogo é a coisa mais triste que eu vi hoje https://t.co/xfNhkKysfq
th,ประเทศไทย,"RT @irichmillion: ขณะที่เพลิงโหมไหม้มหาวิหารนอเทรอดามอย่างรุนแรงนั้น หนุ่มสาวในปารีส คุกเข่าร้องเพลง Ave Maria สรรเสริญพระแม่ ขอให้ไฟดับลง

Notre Dame แปลว่า our lady หมายถึงพระแม่มารี

ศาสนสถานเก่าแก่นี้มีอายุเกิน 800ปี มีคุณค่าทางใจต่อชาวฝรั่งเศสชนิดที่ประเมินค่าไม่ได้  https://t.co/hUEKSlzHh6"
en,usa,"RT @AmyMek: BREAKING: Famous French Journalist Slams Pope, Elites &amp; Macron for Notre Dame Fire!

""2018 we had 1063 anti-Christian acts - 2 churches were vandalized PER DAY!""

'The pride of our history is burning &amp; and I accuse all the quislings of being responsible'
https://t.co/CTINpaE2lE https://t.co/YDjwuoPRzb"
en,,RT @talliedar: A fire broke out yesterday at Masjid Al-Aqsa in Palestine. Not a single major newspaper or media channel did coverage on it. Not a single penny was pledged to rebuild it. It is historic structure that is 130 years older than the Notre Dame Cathedral.
en,Madison WI,"RT @RadioFreeTom: France didn't have any colonies in the 12th century, you dope. Notre Dame was completed during the Hundred Years' War, and nearly 70 years before England's invasion and the Battle of Agincourt. https://t.co/VSLxaL31sY"
en,Philly Burbs,RT @EmeraldRobinson: Stories you won't see reported or discussed today: One of three female Muslim terrorists who tried to set fire to Notre Dame in 2016 was sentenced just four days ago on Friday. https://t.co/E7MHtbtb36
en,,"RT @ArcheoPablo: Los creadores del videojuego han ofrecido todo el material que recopilaron durante la fase de producción para apoyar en la restauración de la catedral. 👇

https://t.co/EDBHaw2o1p"
en,Dennis Matias,"RT @syiphee: Notre-Dame, Paris https://t.co/2bLCCUmAos"
en,,RT @Bruno_J_Navarro: The massive financial support for Notre-Dame prompted journalist @Yashar Ali to point people toward another worthy cause: rebuilding three historically black churches in Louisiana that were recently destroyed by arson. https://t.co/5HVYTfMLOY
en,,@Danwhitemagic I was thinking about the Notre Dame fire and came across an old pic at La Esmeralda. Your magic back then was on Gandalf the Grey. You definitely leveled up to Gandalf the (Dan) White!!! #blessup https://t.co/fhRNOwI2Lw
pt,Goiânia - Brasil,"Sobre todas as fotos da Catedral de Notre Dame que tomaram conta da TL...
Num primeiro momento eu fiquei um tiquinho de inveja por não ter tido essa experiência incrível.
Hoje bateu uma tristeza quando lembrei do incêndio no Museu Nacional em que vi DUAS fotos de pessoas lá."
en,"Largo, FL","RT @EdKrassen: So let me get this straight.  Trump is offering to help France in rehabilitating the Notre Dame Cathedral but he won’t do a single thing for Puerto Rico or Flint Michigan.

That’s not America First!
That’s white people first!"
pl,,"RT @ABC: Notre Dame Cathedral's famed rose windows, organ spared, church official says. The large round windows that date back to 1250. https://t.co/eghy2VvvGo https://t.co/3MKJnWr5Vo"
en,,"RT @KaivanShroff: $400 million to rebuild Notre Dame raised overnight, but 5 years later Flint, Michigan, still doesn’t have clean drinking water."
en,,"RT @SaraVanderwegen: Built in 1163. Took 200 years to complete. 
It survived revolutions, plagues and world wars. 
And now, the evening of April 15th 2019, the Notre Dame in Paris burns. 
All history gone. 

The world stands helpless as history disappears before our eyes. 💔  

Im so sorry #NotreDame https://t.co/aHYu5fOJqo"
en,,I know that the Notre Dame is a very important landmark but the fact that billionaires have pledged over 600 million dollars in under 24 hours to help fix it just really puts into perspective how easily rich people could help solve world issues if they cared
en,,"RT @siriuskoo: the way notre dame fire got so much media coverage, everyone paying their respects but a mosque, a much older one burning down, aint no one said a word aint no one even heard of it, i myself jus found out today bc literally No one talking abt it, really shows how this world roll"
en,"McAllen, TX","French Prime Minister committed to rebuild Notre-Dame in 5 years...don’t think is doable. Just to reconfigure all the details solely based on pictures will take a long time, let alone all the coordination to physically rebuild. 

Will be something to follow for sure. 
#notredam"
es,,"RT @BairesHigher: - Donan millones a Notre Dame pero no a los pobres de África, así estamos. 

- Se destinan cerca de US$500 billones anuales a apalear la pobreza.

- Ay, pero bien que se mueven rápido por una iglesia.

- Es un patrimonio de la humanidad y de Occidente, flaca.

- Jsjsjs qsyó, man."
es,Ecuador,"RT @bloglibrecuador: “Notre-Dame de Paris, le grand concert"" Gran Concierto por Nuestra Señora de París en France 2, el sábado en la tarde. Se hará un llamado a los posibles donantes. Se podrá ver en TV5! https://t.co/MU8cFZPyWH"
en,"ATLANTA,GA / HILTON HEAD,SC","@EdKrassen SAY IT LOUDER, GOT DAMN IT!! 

AND yes,
Loosing Notre Dame is horrific but let us not act like the Catholic Church isn't blistered with child porn, pedophilia, rape, scandal, and built on the backs &amp; riches of African countries."
en,In God’s Hands,"RT @QasimRashid: Black church burns
•Beck: ¯\_(ツ)_/¯

2nd Black church burns
•Beck: ¯\_(ツ)_/¯

3rd Black church burns
•Beck: ¯\_(ツ)_/¯

Culprit is white supremacist
•Beck: ¯\_(ツ)_/¯

Notre Dame Burns due to human error
•Beck: How can I blame Muslims for this??

🤔
https://t.co/VvEGKOpvd5"
es,"Neuquén, Argentina","RT @AgustinLaje: Se incendió Notre Dame y el narcisismo disfrazado de tristeza se deja ver en la excelente excusa que tenemos para mostrar que nosotros sí estuvimos allí, en fotos donde el fin real es marcar nuestra presencia en donde hoy hay ausencia. El yoismo se regocija en lágrimas paródicas."
es,Manizales,Fuerte Donacion del senador Alvaro Uribe V. Para la reconstruccion de la Catedral de Notre Dame. https://t.co/t7SQg7R71a
en,"Guarulhos, Brasil","RT @Rjrr_7: Sobreviveu a Revolução Francesa e a duas guerras mundiais. Corou dezenas de Reis. E nela, Napoleão se tornou Imperador. Quase 1 milênio de história. Majestosa foi Notre-Dame. https://t.co/InhHIWu4HY"
es,,"RT @elbarroquista: Con más de 24 horas de distancia sobre el terrible incendio que sufrió ayer la catedral de Notre-Dame de París, me gustaría hacer una serie de consideraciones.

HILO https://t.co/G0y4l2qIwQ"
en,"Kingston, NY","RT @ArchKennedy: These people taking delight in the tragedy on Facebook:

Wahid Hadji
Oubbad Jsk
Yusuf Mohammedzai
Hessam Massa
Mohamed Hiadi
Mohamed Bensalem
Alaa Atfeh
Raidh Khaled
Ammar Sofiane
Abdelhakim Noui Oua
Mohamed Amin 

#NotreDameCathedral #NotreDameFire
https://t.co/8MTghH5yWb"
en,"Abidjan,  côte d'ivoire ","RT @Francky_cy: Deux jours là trop de problèmes pffff
Hier c'était NOTRE DAME qui brûlait aujourd'hui c'est LA VIEILLE DAME qui sombre. AMSTERDAM bonne chance à vous 🚶🏾🚶🏾
#LDC2019"
ja,すみれの花とマルーンの疾風,RT @AtsukoTibis: 崩落した尖塔に載っていた雄鶏の像が見つかったそうです。溶けて失われたと思われていたようです。Notre-Dame: le coq de la flèche retrouvé parmi les décombres  https://t.co/SKZSSQcyXX @Figaro_Cultureさんから
en,Philadelphia,"RT @Freeyourmindkid: And before some genius pops up and says ""It's not the same thing, Notre Dame was a wonder that was around for 100's of years"" just remember that your ancestors destroyed the majority of our wonders that were around for that long."
en,,"RT @MrFilmkritik: White House offered France help and money to rebuild the Notre Dame Cathedral.

Flint is still without clean water.
Puerto Rico still lacks aid.
Three churches were burnt down in Louisiana in what is now being charged as a hate crime. Maybe focus on that, Donnie."
en,,"RT @meganromer: My heart is broken over the loss of Notre Dame. 

The Catholic Church is also one of the world’s wealthiest entities. 

If you are going to donate money to rebuild a church this week, I implore you to make it the black churches in St. Landry Parish. 

https://t.co/HBh4n80nT1"
en,,"RT @meganromer: My heart is broken over the loss of Notre Dame. 

The Catholic Church is also one of the world’s wealthiest entities. 

If you are going to donate money to rebuild a church this week, I implore you to make it the black churches in St. Landry Parish. 

https://t.co/HBh4n80nT1"
en,,RT @tonesatan: masjid al-aqsa is 128 years older than notre dame and is literally one of the holiest sites in islam. our prophet led prayers towards it and the fact that everyone is ignoring this says a lot about how much people don't care about us. https://t.co/revCkuyyas
en,"San Mateo, CA",[Notre-Dame] Passacaglia and Fugue in C minor // Olivier Latry https://t.co/VQuUTGghCY via @YouTube
en,"Long Beach, Ca ",RT @JackPosobiec: Christians singing outside Notre Dame https://t.co/NweAMWUCNF
en,,"@EdKrassen @surfcityphoto Notre Dame is one building - not a dysfunctional entire city or dysfunctional quasi-state that was already in deep trouble before a disaster.
Makes fixing things possible."
ja,８丁目,RT @ogugeo: 2015年にパリのノートルダム大聖堂の詳細な三次元データがレーザースキャンや写真測量を用いて構築されており、修復に活用できるという記事。 https://t.co/pv3QoASLrh データの取得者はベルギー人のゴシック建築の研究者で、昨年49歳の若さで病死した Andrew Tallon 氏。貴重なデータを遺してくれた。 https://t.co/kulYo2eBr2
en,London,"The Papers: Tributes to Notre Dame 'inferno heroes' https://t.co/1jZmkyW4ho : April 17, 2019 at 12:52AM via mikejulietbravo"
en,"Montana, USA","@mmfa @benshapiro @washingtonpost 🤣😂🤣😂🤣😂 meltdown much. It's like the ass face on Instagram having a fit because I insinuated Muslims may be responsible for the Notre Dame fire.
Don't cry too hard. Save up your tears for the future. Trust me you will have them."
en,fayetteville,RT @nowthisnews: 'I hope that its foundations are strong. I hope that our foundations are even stronger.' — This teen climate activist wants us to come together to save our planet like we did to save the Notre Dame https://t.co/pblgmaQ30P
en,Le Puteriè,"RT @arantzabombon: Recaudaron 3000M euros y subiendo, para reconstruir Notre Dame. Para Siria nada, no se preocupen, su arte fancy y hermoso siempre se puede reconstruir, el arte de la gente que no le importa el mundo no."
en-gb,"Edinburgh, Scotland","RT @BarrySBrunswick: So sad, we should take a moment to reflect. The very last female Yangtze giant softshell turtle on Earth died. Yet another species that is doomed to extinction. While we're all eulogising
about Notre Dame, this has gone almost unnoticed. This cannot be rebuilt people😭😭 https://t.co/a2haxJhgig"
en,Puerto Rico,RT @rvfaell: ¿Y si les digo que la única razón por la que sobrevivió el altar de la Catedral de Notre Dame es por el material del que está hecho?
en,Buenos Aires,"RT @jdoedoe101101: @baronjimena Se dona anualmente alrededor de 500 billones de dólares a los pobres a nivel global. Eso es mil veces más de lo que se va a donar para Notre Dame. No seas ignorante, y si querés que se done, doná vos también.

https://t.co/HjLpw28XZc"
ja,東京,"RT @atmsphrca: ノートルダム大聖堂の復旧にアサシンクリードのデータが役立つかも、とニュースに出てる。ゲーム、精緻な3Dデータが現実を救う例になりそう Silver lining: Late art historian's work, 'Assassin's Creed' video game could help rebuild Notre Dame https://t.co/H5IjIOZtVf"
en,,"RT @benshapiro: Hey, @washingtonpost, any interest in fixing this nonsense? I noted that Notre Dame is a monument to Western civilization because it is. That has nothing to do with blaming Muslims, and to suggest it does is simply a lie."
es,Sevilla. Spain,"RT @Alvisepf: Durante todo el año:

- “¡La única Iglesia que ilumina es la que arde!”

- “¡Curas y monjes a la guillotina!”

- “¡Arderéis como en el 36!”
__________

Cuando arde Notre Dame:

- “Qué horror, arde un símbolo...”

Sois unos cobardes. Unos cínicos.
Unos sectarios.

Sois socialistas"
en,Brazil,"""Así amanece Notre Dame tras el incendio""  https://t.co/EjdNWwDiGz"
en,Princeton,Notre Dame: The collective pain of history destroyed @qz obsession https://t.co/UlCpXom7Mp
en,"Mississauga, Ontario","RT @highentiatomb: notre dame will likely be restored but the al-aqsa mosque, the third holiest site in islam, also caught on fire today. there was minimal damage and no lives lost but it'll probably need some repairs! if you're able to help their fundraising pages are here:
https://t.co/p6uTPuLLVJ"
en,"London, England","RT @PaddyBaker13: Its funny how billionaires are rushing in to save the Cathedral in Notre Dame, but in comparison to the Grenfell disaster NOTHING, lives were lost but no one steps up to help. Any thoughts or am I just niece?! #NotreDameCathedralFire #GrenfellTower https://t.co/rXKs3f93f5"
en,East Carolina University,RT @valentinography: Louis Vuitton are giving 200 million to fund rebuilding the notre dame...can’t wait to see jesus carrying a speedy 60 in a stain glass window
en,各種沼地,RT @ogugeo: 2015年にパリのノートルダム大聖堂の詳細な三次元データがレーザースキャンや写真測量を用いて構築されており、修復に活用できるという記事。 https://t.co/pv3QoASLrh データの取得者はベルギー人のゴシック建築の研究者で、昨年49歳の若さで病死した Andrew Tallon 氏。貴重なデータを遺してくれた。 https://t.co/kulYo2eBr2
es,"Antofagasta, Chile",RT @CesarSepulvedaG: Dos de las últimas imágenes que tomé desde la torre de Notre Dame. Jamás imaginé que se convertirían en imágenes históricas. #NotreDame https://t.co/0krgGKKwA4
es,Argentina,Macron va a abrir una suscripción nacional e internacional para reconstruir Notre Dame. https://t.co/L4kN7fF00m
en,"Spokane, WA",ya i mean sorry to everyone that feels rly sad about notre dame but colonizers literally destroyed the religious artifacts and sacred grounds of my ancestors so imma dig on this super moody™️ pic of that one church burning https://t.co/W4lkrRKEGP
en,"edmonton,alberta",RT @keesdenhartigh: Let's call this #fakenews because really...who knew? https://t.co/ED6J5XidL1
en,,RT @softevnstan: esse vídeo dos franceses cantando enquanto assistem Notre Dame pegar fogo é a coisa mais triste que eu vi hoje https://t.co/xfNhkKysfq
en,,"RT @Dadinista: Yes, the Catholic Church has hundreds of billions of dollars. 

No, she can't just use some of that to restore Notre Dame. 

It's all earmarked for the construction of our space fleet.

Please educate yourself before you tweet. https://t.co/eiJubO1Dfk"
es,"Flavio Alfaro, Ecuador","Qué orgullo siento de ser ecuatoriano.
Este dibujo fue realizado por la guayaquileña Cristina Correa Freile en homenaje al incendio de la catedral de Notre Dame, pero la razón principal es que esta obra ya le ha dado la vuelta al mundo entero. #NotreDameEnLlamas @EcuadorEsArte. https://t.co/ER2qPU1Sd6"
es,,"RT @agusalejook: *el país se cae a pedazos*

medio de comunicación:

*la catedral de notre dame se incendia*

medios de comunicación: hablan las 24hs sobre eso"
en,West Palm Beach or Pittsburgh,"RT @BarackObama: Notre Dame is one of the world’s great treasures, and we’re thinking of the people of France in your time of grief. It’s in our nature to mourn when we see history lost – but it’s also in our nature to rebuild for tomorrow, as strong as we can. https://t.co/SpMEvv1BzB"
en,Ontario Canada,"RT @globalnews: In less than 24 hours, people have donated the equivalent of $1 billion Canadian to help rebuild the Notre Dame cathedral. 

#NotreDameCathedralFire

https://t.co/3ZXUVMrqEN"
en,"Cheektowaga, NY","RT @PrisonPlanet: BuzzFeed lobbies for Big Tech to deplatform people for ""misinformation"".

Then engages in blatant misinformation by crafting an outright hoax that no one celebrated the Notre Dame fire. They did.

Under its own rules, BuzzFeed should be deplatformed.

https://t.co/nx9QheuRKN"
pt,"Brasília, Brasil","RT @syiphee: Notre-Dame, Paris https://t.co/2bLCCUmAos"
es,México,"RT @AXL__tw: ¿Cómo es que el gran incendio en la CATEDRAL DE NUESTRA SEÑORA (Notre Dame) en París, ha dejado el interior de ésta casi completo e intacto, y muy lejos del aspecto apocalíptico que veíamos por fuera?

Aquí mi choro al respecto... https://t.co/lKv6kasil8"
en,Rio de janeiro,😪 https://t.co/OcfNFz7R41
en,Rio de janeiro,😪 https://t.co/OcfNFz7R41
en,,"RT @prageru: The symbolism of the Notre Dame fire was hard to miss.

Is Europe dying? 
Can it recover?
Or is it too far gone already?
😟

See our video ""The Suicide of Europe"": https://t.co/AEXnlBpqt4 https://t.co/v0nNZ5WMWm"
pt,"São Bernardo do Campo, Brasil","RT @Rjrr_7: Sobreviveu a Revolução Francesa e a duas guerras mundiais. Corou dezenas de Reis. E nela, Napoleão se tornou Imperador. Quase 1 milênio de história. Majestosa foi Notre-Dame. https://t.co/InhHIWu4HY"
es,RIO CUARTO,"RT @Horacio_Giusto: Es muy curioso y coincidente a la vez, que en plena secuencia de ataques a la Iglesia Católica en Francia, ahora se queme ""accidentalmente"" la Catedral de Notre Dame a días de Semana Santa."
en,"Fargo, North Dakota","@drmistercody @benshapiro @chick_in_kiev If calling Notre Dame a monument to western civilization evokes “the specter of war between Islam and the west” in someone, they are an irrational, fear-mongering loser."
en,"Chair, Living Room","Bicho, essa semana tá foda, ontem minha sala tomou um esporro super desnecessário de uma professora, me chamaram de ""essa mina que não cala a boca"", a Notre Dame pegou fogo, teve tiroteio"
en,"Erie, PA",I watched a lot of programming about the shroud of Turin as a child but I don’t believe I’d ever heard that the purported crown of thorns was housed at Notre Dame.  This seems like something everyone should know.
en,,"That's the RACIST thing to do of course!
Analysis | Trump and Pence tweeted about Notre Dame fire but said nothing when 3 black churches burned https://t.co/JL1eMeuQWn"
en,SC,RT @DineshDSouza: What’s up with Pope Francis? He seems to be keeping a resolute low profile on the catastrophic Notre Dame fire. A great symbol of Christendom crumbles and this man is going about his daily chores. “The smoke of Satan is within the church!”
ja,日本,"RT @CBSNews: French President Emmanuel Macron said the nation will immediately begin an international effort to repair the torched Notre Dame: ""We will rebuild this cathedral all together"" https://t.co/c10R3SerMw https://t.co/rDM2pMZQu7"
ja,かざるたからもいりくるみなと,RT @ogugeo: 2015年にパリのノートルダム大聖堂の詳細な三次元データがレーザースキャンや写真測量を用いて構築されており、修復に活用できるという記事。 https://t.co/pv3QoASLrh データの取得者はベルギー人のゴシック建築の研究者で、昨年49歳の若さで病死した Andrew Tallon 氏。貴重なデータを遺してくれた。 https://t.co/kulYo2eBr2
en,United States,"RT @catturd2: Come on people ... just because Notre Dame burst into flames 5 minutes after they closed, isn't suspicious at all. 

And if you even mention it ... you're a white nationalist conspiracy theory nut job.

(Farting Sound)"
en,"Oklahoma, USA","RT @PrisonPlanet: PJW: There were people reacting with smiley faces to the Notre Dame fire.

BuzzFeed: No! That's a hoax.

PJW: No it's not, here's the proof.

BuzzFeed: Oh well... smileys don't matter.

PJW: Here's dozens of comments celebrating it.

BuzzFeed: 🤔

https://t.co/nx9QheuRKN"
en,,"RT @EmeraldRobinson: Dear media: of the more than 700 Christian churches which have been vandalized/burned/desecrated in France in the last 12 months, the Notre Dame fire appears to be the only one that is being treated as a possible accident by workmen. How's that for perspective? #NotreDameFire"
en,Italy,RT @AguCecchin: Louis Vuitton y Gucci van a donar 300 millones de euros para recuperar a Notre Dame. TRESCIENTOS MILLONES DE EUROS TE IMAGINAS TENER TRESCIENTOS MILLONES PARA DONAR POR DIOS NI SE CUANTOS CIFRAS TIENE ESE NÚMERO
en,"Minneapolis, MN","RT @yashar: The rebuild of Notre Dame will be well funded. 

In the past month, three historically black churches in Louisiana were destroyed by a racist arsonist. He has been charged with hate crimes, but these churches need your help. Please join me in donating https://t.co/gj1BcNsGpu"
en,,"RT @j_baylorcook: In the midst of fire and destruction at Notre Dame, the Cross still stands...

That’s beautiful, that’s poetic, that’s God. https://t.co/lSEJIV08WS"
es,,"RT @alarcondibujos: En Notre Dame se llama Quasimodo.
En Palacio Nacional se llamaría Casi-a-modo."
en,"Brooklyn,NY",RT @ranflyer: There is not a traveler or a travel blogger that hasn’t made Notre Dame part of their bucket list. We at @BoardingArea are heartbroken for the French people and will be donating to its rebuilding efforts to help restore this precious monument.
en,"Cincinnati, OH","Listen I'm gonna shut up about Notre Dame but the next tweet is a link to donate to the still ongoing hurricane relief in Puerto Rico, ok, bye bye now!"
en,"Columbus, GA",RT @Millie__Weaver: Macron releases new design for the reconstruction of Notre Dame? https://t.co/MnQOtTxzEZ
en,"Glendale Heights, IL",RT @DineshDSouza: What’s up with Pope Francis? He seems to be keeping a resolute low profile on the catastrophic Notre Dame fire. A great symbol of Christendom crumbles and this man is going about his daily chores. “The smoke of Satan is within the church!”
es,asuncion,"El papa Francisco desea ""la movilización de todos"" para reconstruir Notre Dame https://t.co/8C1ihLePxh"
en,"So. Cal., USA","RT @prageru: The symbolism of the Notre Dame fire was hard to miss.

Is Europe dying? 
Can it recover?
Or is it too far gone already?
😟

See our video ""The Suicide of Europe"": https://t.co/AEXnlBpqt4 https://t.co/v0nNZ5WMWm"
en,"San Francisco, CA","RT @michikokakutani: Victor Hugo described Notre Dame as ""a vast symphony in stone"" &amp;noted that ""great edifices, like great mountains, are the work of centuries"" &amp; ""the universal history of humanity"" can be found in the ""successive engrafting of many arts,"" of many generations upon the same monument"
en,,"RT @PrisonPlanet: BuzzFeed lobbies for Big Tech to deplatform people for ""misinformation"".

Then engages in blatant misinformation by crafting an outright hoax that no one celebrated the Notre Dame fire. They did.

Under its own rules, BuzzFeed should be deplatformed.

https://t.co/nx9QheuRKN"
en,"San Francisco, California","RT @Total: Following the terrible fire that damaged Notre Dame Cathedral, one of the most iconic monuments of Paris and France, we pledge our support for #NotreDame by donating 100M euros to @Fond_Patrimoine to help the reconstruction of this architectural jewel. https://t.co/Kqszwy9XUJ"
es,Santiago Bernabéu,RT @AsocSimuladores: Y perdimos la Catedral de Notre Dame. Una verdadera tragedia. https://t.co/9f8JRxZWiJ
en,,"RT @IamGMJohnson: In 5 Days, the 3 Black churches have raised 400k.

That is about 1/10 of 1 percent of what was given to Notre Dame in one day (nearly 400 million and counting) https://t.co/kAM2pYBs91"
en,"Brooklyn, NY","Ok so I feel the need to say something because I feel the bullshit level is a bit high. Everyone and their mother is posting a lot of mourning posts about Notre Dame, including pictures of their own visits there. And every single picture I have seen is of a part of the cathedral"
en,Greater Sudbury,"RT @PrisonPlanet: BuzzFeed is right.

No one was celebrating the Notre Dame fire.

It was all just a 'conspiracy theory'.

Oh wait.....

FULL VIDEO: https://t.co/nx9QheuRKN https://t.co/Qh04rHtC7t"
en,"Kitchener, Ontario","@bridaws1 @nopidgeon @RadioFreeTom I was refuting the bogus claim of @RadioFreeTom that Notre Dame was ""completed"" in the 1400's.  

It wasn't.    

Major changes were made as late as the mid-1800's."
en,,"RT @PrisonPlanet: BuzzFeed lobbies for Big Tech to deplatform people for ""misinformation"".

Then engages in blatant misinformation by crafting an outright hoax that no one celebrated the Notre Dame fire. They did.

Under its own rules, BuzzFeed should be deplatformed.

https://t.co/nx9QheuRKN"
en,Virginia,"RT @RealJamesWoods: As a Roman Catholic and a friend of France, to see this magnificent creation engulfed in flames is a knife to the heart. #NotreDame  https://t.co/FyISs5LIOS"
en,United States,@CyrusMMcQueen No joke regarding Notre Dame is funny. Too soon.
en,"Tuba City, AZ",RT @PFTCommenter: Some Amercan Ideas for the Rennovatons of Notre Dame That Would Really Enhance the Fan Experience &amp; Maximize Profits. MY COLUMN https://t.co/9Fe5lceVDm https://t.co/YcFWowTr7b
es,Provincia Buenos Aires,"RT @GabyLevinas: Grandes empresarios franceses ya donaron mas de 600 millones de euros para reconstruir Notre Dame, Si pasase en Argentina nuestros empresarios estarían rosqueando para ganar la licitación y sobre-facturar un 300%"
en,"ST. PAUL, MN","RT @EdKrassen: The Notre Dame Cathedral Fire is horrific, and it's nice that Trump &amp; Pence took time to tweet their thoughts &amp; prayers to the people of Paris, but why the hell haven't they tweeted a single word about the three black churches that burnt down in America this month?

America 1st?"
es,,"RT @BisignanoOK: Gente que se burla de personas pobres, 🏳️‍🌈, mujeres, discapacitadas,  desparecidos, Maldonado, etc... dicen que no hagan chistes con Notre Dame, que con eso no se jode"
en,"Phoenix, AZ","RT @goodbeanalt: this girl     notre dame cathedral
               🤝
           on fire"
es,Ocaña,"RT @Bellealouette: Louis Vuitton donará 100 M de Euros para la reconstrucción de ""Notre Dame"".
Podemos decir que lo que se robo Jenny Ambuila para comprar bolsos de esa marca va a ir a esa obra.
Es decir que los Colombianos estamos financiando la reconstrucción de Notre Dame.
*selfie en París*"
en,,RT @EmeraldRobinson: Notre Dame fire: The owner of the restoration company - which is very highly regarded - says that absolutely none of his 12 workmen were on site when the fire began. They had already left for the day. https://t.co/9a0B7dzyMB
fr,ILE MAURICE.GRAND BAY,"LE VATICAN AYANT L UNE DES BANQUES LES PLUS PUISSANTES DU MONDE N APPORTE PAS SA CONTRIBUTION A LA RENOVATION DE NOTRE DAME

QUEL PAPE.. LECHE BABOUCHES"
en,,"RT @PrisonPlanet: The Vice-President of the French student union at the University of Lille reacted to the Notre Dame fire by tweeting, “I swear to Allah we don’t give a rat’s ass.” https://t.co/y9k78s0JIF"
en,,RT @tonesatan: masjid al-aqsa is 128 years older than notre dame and is literally one of the holiest sites in islam. our prophet led prayers towards it and the fact that everyone is ignoring this says a lot about how much people don't care about us. https://t.co/revCkuyyas
ko,,"RT @theresa_may: To underline our solidarity with France and her people, the bells at Westminster Abbey will toll at 5:43pm this evening to mark the moment the fire began yesterday. 

https://t.co/PqKG4Jf7wc"
en,,"RT @DennyBurk: Here’s a diagram showing damage done to Notre Dame cathedral by the fire. Very helpful.

#NotreDame https://t.co/mF2sEeVquc"
en,Seshlahem,"RT @herbz1996: 7 companies have pledged €700million to restore Notre Dame and the donations continue to grow

Can you imagine what could be done to stop world hunger and other human rights issues if companies and people cared as much about human beings as they do an old building"
en,"Maringá, Brasil","RT @brunabosz: são tempos sombrios para a história, amigos

museu nacional - 1818
catedral de notre dame -  1345 https://t.co/JVe38DziDm"
en,,Varias personalidades y empresas se han comprometido a donar cantidades millonarias para reconstruir la catedral de Notre Dame.          https://t.co/83UKsbP5RT
en,Philippines,"RT @benign0: Yellowtards now OWN Notre Dame Cathedral too, I heard."
en,"Tucson, Arizona",RT @KOLDNews: HOLE IN NOTRE DAME ROOF: Take a look inside the Paris cathedral one day after a fire damaged the historic landmark. A hole in the roof lets light shine on the rubble and the cross still standing inside. https://t.co/6eWQtp9Nv5
pt,nem eu sei,"RT @jeferson: Dois dias após o incêndio do Museu Nacional, Bolsonaro debochou e disse “já pegou fogo, quer que faça o quê?”. Duas horas após a tragédia de Notre-Dame, ele manifesta “profundo pesar” ao povo francês. Nunca houve Presidente tão vira-lata q desprezasse tanto nossa própria história"
en,DEEP SWAMP USA💵💰🇺🇸,RT @DineshDSouza: What’s up with Pope Francis? He seems to be keeping a resolute low profile on the catastrophic Notre Dame fire. A great symbol of Christendom crumbles and this man is going about his daily chores. “The smoke of Satan is within the church!”
en,,"“Notre-Dame Flames Spread Like Wildfire. Here’s Why.”
https://t.co/7GSGoYrcN8"
en,,RT @DineshDSouza: What’s up with Pope Francis? He seems to be keeping a resolute low profile on the catastrophic Notre Dame fire. A great symbol of Christendom crumbles and this man is going about his daily chores. “The smoke of Satan is within the church!”
fr,"Metz, France",RT @opourriol: Victor Hugo remercie tous les généreux donateurs prêts à sauver Notre-Dame de Paris et leur propose de faire la même chose avec Les Misérables.
en,,"RT @tambourine: the horrible Notre Dame news has also made me think of the historic mosques that have recently been destroyed in China, as part of the ongoing attempt to destroy the Uighur culture https://t.co/VJdHv9SYlb"
es,"Pasto, Colombia","RT @Manuelfilosofia: Esta es la Gran Mezquita Omeya de Alepo. Construida hace 1300 años en el 715, fue una de las construcciones más importantes de Oriente hasta que fue destruida en 2013, no por un incendio involuntario como Notre Dame, sino por los bombardeos de una guerra inducida por Occidente. https://t.co/ai9FpWoklw"
pt,"Campos dos Goytacazes, Brasil","RT @lobaoeletrico: SE NOTRE DAME QUE É NOTRE DAME CAIU ,PORQUE ESSES TOGADOS DO STF NÃO PODEM E DEVEM. CAIR?"
es,Metan/San Miguel de Tucumán,RT @JuampiLombardo: Yo también subiría una historia en la catedral de Notre Dame pero no conozco ni la de aquí 😞
en,,"RT @fredsoftway: #Notre_dame_de_Paris  
Pour que ce soit clair @EmmanuelMacron représente la République toi tu ne représente rien ! https://t.co/gE5HM0SKzP"
tr,,"RT @SavciSayan: Louis Vitton 200 milyon euro
Total 100 milyon euro
Loreal 200 milyon euro 
Kering grubu 100 milyon Euro Yanan Notre Dame katedraline bağışta bulunmuş.
Merak ettim D.bakirda yakılan, yıkılan kurşunlu camii ve dört ayaklı minare için Koçlarımız,sabancılarımız kaç lira ödedi...? https://t.co/y6UEzPaGwt"
en,"Vancouver, WA","RT @grouchybagels: I know this doesn't help, but we have exquisite 3D laser maps of every detail of Notre Dame, thanks to the incredible work of @Vassar art historian Andrew Tallon. Prof Tallon passed away last November, but his work will be absolutely crucial https://t.co/YJl3XXUZTg"
